province,jokomaruf,prabowosandi
DKI JAKARTA,2457563,2215734
JAWA BARAT,9371283,13691161
JAWA TENGAH,16758002,4932416
DAERAH ISTIMEWA YOGYAKARTA,1640803,735786
JAWA TIMUR,15798071,8171639
ACEH,375658,2170668
SUMATERA UTARA,3642093,3268687
SUMATERA BARAT,396593,2432670
RIAU,1121436,1795947
JAMBI,848101,1178310
SUMATERA SELATAN,1823296,2688490
LAMPUNG,2845902,1951745
KALIMANTAN BARAT,1707441,1260433
KALIMANTAN TENGAH,828234,536162
KALIMANTAN SELATAN,820656,1462464
KALIMANTAN TIMUR,1069784,852673
SULAWESI UTARA,1214245,358402
SULAWESI TENGAH,853293,650816
SULAWESI SELATAN,1883913,2468591
SULAWESI TENGGARA,554470,840465
MALUKU,439112,312198
BALI,2342435,212577
NUSA TENGGARA BARAT,946449,2000070
NUSA TENGGARA TIMUR,2334584,299181
PAPUA,336958,65527
BENGKULU,582845,585598
MALUKU UTARA,294235,324660
KEPULAUAN BANGKA BELITUNG,495335,288045
GORONTALO,369338,344798
BANTEN,2356461,3799788
KEPULAUAN RIAU,480075,399301
SULAWESI BARAT,474852,263345
PAPUA BARAT,153467,41555
KALIMANTAN UTARA,247352,105498
LUAR NEGERI,568130,221866